measurement_source_value,count
Eye Abnormalities,37
Eye care,18
Eye Care,373215
EYE CARE,12
Eye Drainage [Left],29263
Eye Drainage [Right],27286
eye exam,157
Eye exam,76
Eye Exam,535
EYE EXAM,15
Eye Lids,2709
eye movements,29
Eye Opening,954139
Eye Shields,213291
F10 JP OUTPUT,2
f10 urine,2
F6 JP OUTPUT,5
Face,2
Face Droop,32
face mask 02%,2
Face to Face Eval (Non-violent),166742
Face to Face Eval (Non-Violent),8399
Face to Face Eval (Violent),2029
facial droop,26
Facial Droop,19677
Factor II,30
Factor IX,52
factor ten,4
Factor V,55
Factor VII,64
Factor VIII,482
Factor VIII Inhibitor,48
Factor X,54
Factor XI,32
Factor XII,14
Factor XIII,15
Family Communication,487495
Family Meeting,1841
Family Meeting held,1727
Family Mtg. Planned,384
famotidine mg/hr,61
Farr 10 JP Drainage,2
farr 10 out,2
FARR 10 OUTPUT TOTAL,2
farr 2 output,2
farr 5 emesis,2
FARR 5 OUT,2
Farr 5 output,2
Farr  5 urine,2
FARR 6 URINE,2
FARR 6 URINE OUT,2
farr 7 output,2
farr7-output/urine,2
farr 9 output,3
FBS,2
FDP,1
Fecal Bag,3700
FECAL SWAB,13
Feeding,89
Feeding Label Match,117518
Feeding Team Eval,1
Feeding Tube Check,299171
Feeding Tube Loc,310808
Feeding Tube Size,308076
Feeding Tube Type,305083
Feeding Weight,6014
fem. & abd. drainage,6
fem abp,11
FEM ABP,72
"FEM, ABP",38
fem a-line,26
fem aline,38
FEM A LINE,15
FEM ALINE,35
FEM ALINE MAP,23
fem art,16
FEM ART,12
Fem Art BP,8
FEM ART BP,65
FEM. ART BP,28
FEM ART MAP,40
FEM ART MEAN,112
FEM ART S/D,84
fem/fem bpg,108
FEM LINE,20
FEM LINE BP,19
FEM LINE MAP,1
fem map,43
FEM MAP,54
Femoral ABP,20
FEMORAL ABP,28
femoral abp mean,6
Femoral ABP (Mean),4
FEMORAL ABP MEAN,3
FEMORAL ABP S/D,9
Femoral A-Line,22
FEMORAL A-LINE,15
femoral ART Line,41
Femoral Compartment,1
femoral line left,12
Femoral Pulse L,3802
Femoral Pulse [Left],3258
Femoral Pulse R,5101
Femoral Pulse [Right],4490
femoral pulses,83
Femoral Sheath Aline,13
Femoral site,25
fem sheat,18
Fem sheath,27
Fem sheath MAP,27
FENOLDOPAM,75
fenoldopam mcg/kg/mn,44
FENOLDOPAM MCG/KG/MN,580
fenoldopam mcg/k/min,26
fentanyl,19
Fentanyl,5621
Fentanyl:,20
Fentanyl bolus,12
Fentanyl Bolus,17
fentanyl iv,2
fentanyl mcg/hr,4
fentanyl mg/hr,36
fer-gen-sol,12
ferinsol,17
Ferritin,17946
ferrous sulfate,35
FeSO4,35678
FetalFN,5
Fetal Hemoglobin,11
FETAL HR BY L&D RN,2
Fever,72
fi02 set,19
Fibrin Degradation Products,5118
Fibrinogen,30027
FIBRINOGEN,140
Fibrinogen (150-400),18683
"Fibrinogen, Functional",45935
FICK CO,1
F-Ideal Body Wgt Kg,20
Filter Pressure,58398
Filter Pressure mmHg,55390
fingers,17
finger stick,1
fingerstick,8
FINGERSTICK,1
fingerstick bs,9
finger stick glucos.,1
finger stick glucose,2
fingerstick glucose,5
Fingerstick Glucose,435807
FINGERSTICK GLUCOSE.,5
FiO2,6
FIO2,673719
FIO2 Alarm [High],179192
FIO2 Alarm-High,9112
FIO2 Alarm [Low],235179
FIO2 Alarm-Low,10338
FiO2 (Analyzed),7639
FiO2ApacheIIValue,13
FiO2_ApacheIV,6
FIO2 [Meas],242255
FiO2/O2 Delivered,160
FiO2 Set,572923
FIO2 SET,2
Fissure,22
fistula,149
Fistula,23
FISTULA,9
FK506,4094
flank drsg change,2
FLAP BRISK CAP REFIL,68
flap check,11
FLAP COLOR/TEMP,146
flap doppler,84
FLAP TEMP/COLOR,26
FLAP WARM GOOD COLOR,68
Flatus,123744
fleets enema,11
Flexiseal stool,4
fliud bolus,1
flolan,227
Flolan,195
FLOLAN,216
Flolan chart cc/hr,16
Flolan ng/kg/min,41
FLOLAN ng/kg/min,270
floor ostomy out,2
floor out,5
FLOOR OUT,1
floor output,8
Floor output,4
Floor Output,2
FLOOR OUTPUT,2
floor ttube out,2
floor urine,1
Floor urine,1
floor urine out,4
Floor urine out,2
Flovan chart as cchr,12
flovent,55
Flovent,41
Flovent Puffs,9
FLOW,12
Flow-By (lpm),31366
Flow-by Sensitivity,30317
Flow Pattern,197624
flow rate,17
Flowrate,4
flowrate cc/min,82
Flowrate (cc/min),273085
flowrate cc's,33
Flowrate (l/m),336093
Flow Rate (L/min),370
Flow Rate (variable/fixed),195792
Flow Sensitivity,199212
flow trigger,6
flowvent MDI,20
fluconazole,31
Fluconazole,135
fluconozole oral sol,14
Fluid In for Calc.,8698
"FLUID,OTHER",1712
FLUID RECEIVED IN BLOOD CULTURE BOTTLES,1510
fluid removed dialys,1
Fluid Type,342
FLUID WOUND,60
flush catheter,2
flush LT ct #1&2 out,3
FMC-7,607
foely,7
folate,13
Folate,8821
Foley,1186740
Foley Care,29
foley cath. care,4
foley change,1
foley changed,7
FOLEY CLAMPED,5
foley d/c,1
foley irrigated.,1
foley size,1
Folic Acid,31
Follicle Stimulating Hormone,306
Follows Commands,621846
FOLLOWS CONSISTENTLY,1
Food and Fluid,234320
FOOT CULTURE,221
FOOT WOUND,32
FOREIGN BODY,241
Fosphenytoin,13
Fragmented Cells,1552
Free Calcium,249110
Free care pharmacy ,12
Free Fat,2
freeform alarm,1
Freeform Chemistry,2
Freeform Coags,1
Free H20 cont G-tube,4
free h20 via ngt,9
FRUCAMN+,11
FS,3
fsbs,2
Fspn High,195627
Full Skeletal X-Ray,1
fundus,3
Fundus Character,121
Fundus Location (Breadth),88
Fungal Blood cx,2
Furosemide/Lasix,2575
Gag Reflex,662675
Gait/Transferring,272710
Gallbladder drain,8
gall drain flush,6
Gamma Glutamyltransferase,2529
gastric,2
gastric asp,1
Gastric aspirate,6
GASTRIC ASPIRATE,2
GASTRIC ASPIRATION,17
Gastric Blakemore,112
Gastric Emesis,5677
Gastric Ewald,2
Gastric Gastric Tube,7624
Gastric Jejunostomy Tube,1574
gastric lavage,4
Gastric lavage,4
Gastric Nasogastric,24726
Gastric Oral Gastric,22095
Gastric Other,441
GASTRIC OUT,4
gastric output,1
gastric Ph,2
GASTRIC RESIDUAL,1
Gastric Secretions,75
Gastric Tube,3476
Gastrin,99
GASTROGRAFIN/J TUBE,3
GB drain,3
GB drain flush,2
GcsApacheIIScore,19
GCSEyeApacheIIValue,18
GCS - Eye Opening,567129
GCSMotorApacheIIValue,18
GCS - Motor Response,565142
GcsScore_ApacheIV,8
GCS Total,945638
GCSVerbalApacheIIValue,18
GCS - Verbal Response,565556
GEDI (PiCCO),1221
gel pillow,45
Gel Pillow:,67
Gender,25326
Genetics consult,13
Genetics Consult,3
Genitalia,2781
Gent,10
genta irrig cc/hr,56
Gentamicin,20377
GENTAMICIN,25664
Gentamicin ointment,25
Gentamicin Opthalmic,15
Gentamicin (Peak),111
Gentamicin Post 5-10,775
Gentamicin Pre (0-2),841
Gentamicin (Random),223
Gentamicin (Trough),244
gentamycin,9
Gentamycin,20
gentamycin eye oint,31
Gentamycin Eye Oint.,28
gentamycin eye ointt,20
gentamycin eye ontmt,13
Gentamycin gtts OU,22
Gentamycin oint,27
gentamycin ointment,37
gentamycin opthalmic,10
Gentamycin/Peak,274
Gentamycin/Random,1321
Gentamycin/Trough,392
Gent Eye,9
Gent eye oint,16
gent eye ointment,21
Gent eye ointment,21
gentics consult,1
gentmycin eye oint,10
gent oint.,16
Gent ointment,9
gent opthalmic,10
gent peak/trough,1
Gestational Age,323761
GI #1 Intub Site,186925
GI#1 Tube [Drain],164725
GI #1 Tube Drainage,70038
GI #1 Tube Place Check,123670
GI#1 Tube PlaceCheck,180167
GI #1 Tube Place Method,69596
GI #1 Tube Status,177876
GI#1 Tube [Status],373504
GI #1 Tube Type,190246
GI #2 guiac,15
GI #2 Intub Site,19540
GI#2 Tube [Drain],16670
GI #2 Tube Drainage,5381
GI #2 Tube Place Check,9634
GI#2 Tube PlaceCheck,14186
GI #2 Tube Place Method,4547
GI #2 Tube Status,19219
GI#2 Tube [Status],67432
GI #2 Tube Type,19748
GI #3 Intub Site,1948
GI#3 Intub Site,10685
GI #3 Tube Drainage,666
GI#3 tube PlaceCheck,1302
GI #3 Tube Place Check,880
GI #3 Tube Place Method,498
GI #3 Tube Status,1924
GI #3 Tube Type,1979
GI consult,4
GI drainage,3
GI [Guaiac],8129
GI Guaiac,4017
GI Guaiac QC,1791
GI Intub #1 [Site],453715
GI Intub #1 [Type],465642
GI Intub #2 [Site],86875
GI Intub #2 [Type],88084
GI [pH],2982
GI pH,861
GI Prophylaxis [Drug #1],495004
GI Prophylaxis [Drug #2],21694
GI Tube #1 [Site],606838
GI Tube #2 [Site],107245
GI tube #3,2
GI Tube #3 [Drain],4370
GI Tube #3 [Status],10626
GI UNIT OUTPUT,2
G/J POUCH APPLIANCE,1
G-J TUBE GRAVITY DR,8
Globulin,7920
glucagon,50
Glucagon,2
Glucagon infusion,41
glucagon mg/hr,50
Glucagon       mg/hr,4
Glucagon mg/hr,11
Glucometer,67855
Glucose,1332741
Glucose (70-105),380840
Glucose_ApacheIV,8
"Glucose, Ascites",1186
"Glucose, Body Fluid",468
"Glucose, CSF",4077
Glucose finger stick,246063
"Glucose, Joint Fluid",53
Glucose Monitor #,63978
"Glucose, Pleural",2221
GlucoseScore_ApacheIV,8
Glucose (serum),154544
"Glucose, Urine",62
Glucose (whole blood),70267
gluteral drsg change,10
glycerin,44
Glycerin,37
glycerine,16
Glycerine,7
glycerine supp,20
Glycerine supp,10
Glycerine Supp.,12
glycerine suppos.,13
Glycerine Suppos.,14
GlycerineSuppository,1
glycerin sliver,3
glycerin supp,37
glycerin supp.,16
Glycerin supp,64
Glycerin supp.,33
Glycerin Supp,12
Glycerin Supp.,3
glycerin suppository,35
Glycerin suppository,20
Glycerin Suppository,399
Glyco A,130
Goal Richmond-RAS Scale,102631
Goldline Baby Vits,24
Goose Flesh,715
Graft/Flap Pulse,10587
Grandparents Visit,15233
Granular Casts,6545
Granulocyte Count,24375
granuloma,23
Grasp,769
Gray Top Hold (plasma),717
Green Top Hold (plasma),26855
GR HOLD,11849
GROIN BP,1
groin drain,6
GROIN DRESSING,14
groin pouch,3
Grooming,535
grunting,10
GT care,7
GT Care,13
GT drainage,11
GT DRAINAGE,3
gt drsg,40
gt output,4
GT output,3
gt site,22
GT site,56
GT Site,62
g-tube,25
G-tube,9
G TUBE,8
GTUBE,47
g tube drainage,34
G Tube Drainage,9
g-tube dr/return,39
G tube dsg,29
g-tube feeding,2
g tube flush,4
g-tube flush,2
G-tube flush,73
Gtube flush,22
g-tube H2O flush,23
G-tube placement,21
GTUBE POUCH,2
G TUBE REFEED,14
G-tube residuals,33
g-tube site,67
G-tube site,78
Gtube site,159
G-Tube Site,20
G-TUBE TO GRAVITY,20
GU Catheter Size,328983
GU Irrigant Type,1743
GU Irrigant/Urine Volume Out,3175
GU Irrigant Volume In,3157
GU output total,21
GU  total output,2
H,6
hair washed,12
hairwashed,9
Hair washed,2
HAIR WASHED,9
HALDOL MG IVP,6
Halo,82
halo traction,36
hand drsg change,1
hand mitts,4
Hand perfusion,30
Haptoglobin,11971
Hard Cast L FA,27
"HCG, Maternal Screen",6
"HCG, Urine, Qualitative",659
HCO3,30
HCO3ApacheIIValue,16
HCO3Score,19
HCO3 (serum),152623
HD fluid removed,1
HD FLUID REMOVED,4
HDL,1510
hd out,32
hd out:,2
HD out,14
HD OUT,8
HD output,13
HD Output,1
hd removed,2
HD REMOVED,2
HD Ultrafiltrate,1
head,19
Headache,35010
head circ.,8
Head Circ.,5
Head Circ       (cm),190004
head circumference,60
Head of Bead Measurement,73
Head of Bed,825098
Head US,1419
healed penrose site,79
Health Care Proxy,1186600
hearing,2
hearing screen,29
Hearing screen,19
Hearing Screen,31
Heart Rate,7942776
Heart rate Alarm - High,215741
Heart Rate Alarm - Low,215888
Heart Rhythm,5326589
Heart Sounds,1304
Heated Aerosol Neb,65
Heated Humid,1
Heb B,1
Heels Elevated,24
Height,12015
Height (cm),12015
Height Inches,26
Height of Bed,106509
Heinz Body Prep,41
helioox neb flow,1
Helioox nrb flow,5
heliox,55
Heliox,146
Heliox flow,10
heliox lpm,9
HeliOx press,1
Heliox PSI,4
Heliox PSI pressure,1
heliox tank pressure,18
Heliox tank psi,3
Heliox tank PSI,1
Heliox Tank PSI,15
Heliox total flow,1
Hematocrit,1156119
Hematocrit (35-51),12509
HematocritApacheIIScore,19
HematocritApacheIIValue,17
Hematocrit_ApacheIV,8
"Hematocrit, Ascites",161
"Hematocrit, Calculated",89715
"Hematocrit, CSF",59
"Hematocrit, Joint Fluid",87
"Hematocrit, Other Fluid",288
"Hematocrit, Pleural",285
Hematocrit (serum),165767
Hematocrit (whole blood - calc),18036
hemodialysis,84
Hemodialysis,61
Hemodialysis.,8
HemoDialysis,3
HEMODIALYSIS,25
HEMODIALYSIS.,1
hemodialysis crystal,2
hemodialysis off,2
HEMODIALYSIS OFF,3
HEMODIALYSIS O/P,5
hemodialysis out,22
Hemo dialysis out,3
Hemodialysis out,23
Hemodialysis Out,16
Hemodialysis OUT,1
HEMODIALYSIS OUT,22
hemodialysis output,8
Hemodialysis Output,1483
HEMODIALYSIS OUTPUT,1
Hemodialysis removal,4
hemodialysis ultrafe,3
Hemoglobin,1167239
% Hemoglobin A1c,16618
Hemoglobin A2,80
Hemoglobin C,285
Hemoglobin F,96
Hemogloblin A,285
Hemogloblin S,285
hemoptysis,4
Hemoptysis,1
Hemosiderin,157
Hemovac #1,1490
Hemovac #2,215
HeOx PSI,1
hepa filter,80
HEPA FILTER,31
heparin,15
Heparin,191
HEPARIN,13
Heparin Concentration (units/mL),9875
Heparin Dose,8106
Heparin Dose (per hour),21053
heparin flush,1051
Heparin flush,1008
Heparin Flush,1211
HEPARIN FLUSH,67
Heparin flush 10u/cc,10
Heparin Flush 10U/cc,1
Heparin level,2
"Heparin, LMW",643
heparin lock flush,1
Heparin lock Flush,16
Heparin Lock Flush,14
Heparin/PIC flush,17
hepatic drain,2
Hepatitis A Virus Antibody,1494
Hepatitis A Virus IgM Antibody,722
"Hepatitis B Core Antibody, IgM",677
Hepatitis B Surface Antibody,4175
Hepatitis B Surface Antigen,4020
hepatitis B vaccine,7
Hepatitis B vaccine,57
Hepatitis B Vaccine,63
Hepatitis B Virus Core Antibody,2804
Hepatitis C Virus Antibody,3399
hep b,19
hep. b,1
hep B,11
Hep B,66
Hep B Imm Globulin,2
Hep B ImmuneGlobulin,1
Hep B immunization,5
Hep B vac,2
Hep B vaccination,2
hep b vaccine,11
hep B vaccine,12
Hep B vaccine,67
Hep B Vaccine,65
hep flush,404
Hep flush,493
Hepflush,13
Hep Flush,460
Hep. Flush,10
HEP FLUSH,61
Hep flush 10U/CC,20
Hep Flush 10u/cc,2
Hep Flush 10U/cc,7
Hep flush 10units/cc,11
Hep Flush 10UNITS/CC,14
Heplock flush,11
heprin flush,9
heprin lock,10
Heptavax,670
hernia,118
Hernia,20
hernia/drsng,22
Hernia [Left],11917
hernia repair,13
Hernia Repair,46
hernia repair site,78
hernia repair sites,132
Hernia [Right],11793
Hernias,92
Hertz,35230
He tank pressure,4
HFI Bias Flow:,32
HFO Amplitude,33
HFO Amplitude deta P,7
HFO-Bias Flow,36
HFO-Bias Flow (lpm),16
HFO-Delta P (amplit),39
HFO Delta P (amplt),32
HFO-FiO2,39
HFO FIO2:,6
HFO- FIO2,44
HFO Frq. (Hz),33
HFO Hz,29
HFO Hz:,7
HFO-Hz,36
HFO % I time,30
HFO-% I Time,36
HFO MAP,65
HFO-MAP,40
HFO-Max mean airway,30
HFO max pres. alarm,6
HFO mean airway Pres,6
HFO-Min mean airway,30
HFO min. pres. alarm,6
Hgb,1
HGB  (10.8-15.8),9677
HiB Vaccine,563
HICCUPS,35
hi flow O2,2
Highest Level,8243
high exhaled min vol,162
high exhaled min.vol,11
High exhaled min vol,3199
High exhaled min.vol,108
High Exhaled min vol,158
High Exhaled Min vol,84
HIGH EXHALED MIN VOL,318
HIGH EXHALED MIN.VOL,9
High exhaled MV,14
high exhale mv,211
high exhale MV,559
High exhale MV,124
HIGH EXHALE MV,350
High Insp. Pressure,388926
High MAP Alarm,7
high me,402
HIGH ME,55
high me alarm,25
high min,18
high min.,52
high minnute volume,3
high minute ven    n,2
high minute vent,26
High minute vent.,33
High minute Vent.,3
High Minute Vent.,151
HIGH MINUTE VENT.,1245
High Minute Ventil.,14
High Minute Ventilan,107
HIGH MINUTE VENT.  N,39
high  minute vol,3
high minute vol,144
high minute vol.,161
HIGH MINUTE VOL,155
HIGH MINUTE VOL.,34
high minute volume,3591
High minute volume,48
High minute Volume,92
High Minute volume,8
High Minute Volume,4915
HIGH MINUTE VOLUME,1793
High Minute Volume m,1
HIGH MINUTE VOLUMER,11
High Minute Vo;ume,22
high min vent,735
high min. vent.,54
high/min /vent,47
high/min/vent,1115
High min. vent,21
High min. vent.,34
High/Min/Vent,549
High/MIN/VENT,104
HIGH MIN VENT,86
HIGH MIN. VENT.,82
HIGH/MIN/VENT,276
HIGH MIN. VENTIL.,20
high min vol,930
high min vol.,14
high min. vol,525
high min. vol.,428
high min.vol,97
high min.vol.,17
High min vol,356
High min vol.,13
High min. vol,251
High Min Vol,168
High Min. Vol,15
High Min. Vol.,81
HIGH MIN VOL,398
HIGH MIN VOL.,30
HIGH MIN. VOL,219
HIGH MIN. VOL.,34
HIGH MIN.VOL.,2
high min volume,372
high min. volume,15
High min volume,12
High min. volume,2
HIGH MIN.VOLUME,32
High MMV,43
high mn vent,4
high    mv,1
high mv,7440
highmv,216
high MV,532
high MV.,53
High mv,1
High Mv,11
High Mv.,232
High MV,6092
High MV.,1127
HI(GH MV,3
HIGH MV,4060
High MV alarm,20
High MV alarm.,20
High MV Alarm,1332
HighMV Alarm,72
HIGH MV ALARM,473
High MV Limit,2636
HIGH MV LIMIT,98
High MV Limits,18
high NO,24
high NO2,3
High NO2,9
HIGH NO2,16
high NO2 alarm,5
High NO2 alarm,2
high NO alarm,5
High NO alarm,2
high peep,6
high pip,1
High PIP,3
high pressure,12
High pressure,16
High Pressure Limit,99
High Pressure Relief,222791
High Resp. Rate,381589
HIGH Resp Rate,8
High risk (>51) interventions,91601
high rr,77
High RR,3
high tidal vol,5
High Tidal Vol,17
HIGH TIDAL VOL,69
High Tidal volume,10
High Tidal Volume,37
HIGH TIDAL VOLUME,11
High time,158
high ve,2380
high Ve,615
high VE,117
High Ve,163
High VE,62
HIGH VE,89
high ve            n,15
High Vent Alarm,5
high volume,5
HIGH VT,7
Hi insp press,1
Hi insp. pressure,1
HI LOW NEB,5
hi minute vol,75
Hi/Minute/Vol,1
HI/minute/Vol,50
HI/Minute/vol,176
HI/Minute/Vol,1445
HI/Minute/Vol/,103
HI/Minute/VOl,32
HI MINUTE VOL,4
HI/MINUTE/VOL,77
Hi/minute/vol/alarm,179
Hi/Minute/vol/alarm,6
Hi/Minute/Vol/Alarm,201
HI/Minute/vol/alarm,78
HI/Minute/vol/Alarm,9
HI/Minute/Vol/alarm,74
HI/Minute/Vol Alarm,9
HI/Minute/Vol/Alarm,550
HI/Minute/Vol/Alarm^,27
HI/MINUTE/VOL/ALARM,376
Hi/minute/vols alarm,11
hi minute volume,33
Hi Minute Volume,39
HI/Minute/Volume,187
HI MINUTE VOLUME,100
hi min vent,460
hi min vent.,65
hi/min/vent,10
Hi min vent,6
Hi Min vent,1
Hi Min Vent,11
hi min vol,232
Hi min vol,1
Hi Min Vol,466
HI MIN VOL,27
hi mv,499
himv,6
hi MV,493
Hi MV,1109
HiMV,35
HI MV,698
HI MV Alarm,10
HI MV ALARM,102
Hi MV Alarm Set,1
HI press,9
HIP WOUND OUT,9
History of falling (within 3 mnths),274442
Hi Tidal Vol,176
HI TIDAL VOL,22
hi tidal volume,6
HI TIDAL VOLUME,24
HIV Antibody,1597
hi Ve,7
hi VE,6
Hi Ve,278
Hi VE,38
HI VE,4
HLA-DR,755
HOB,955452
hob angle,130
HOB Measurement,7159
Home Bipap Unit,11
Home Management,174
HOME VENT,8
Home with services,7
Homocysteine,812
hood,39
horacentesis,1
H/O Smear,1880
Hospice home,14
Hospice inpatient,16
Hourly Patient Fluid Removal,60858
Hourly PFR,46913
Howell-Jolly Bodies,829
HR Alarm [High],3492603
HR Alarm [Low],3495202
HrApacheIIScore,19
HrApacheIIValue,18
HR_ApacheIV,7
HrScore_ApacheIV,8
HtScore_ApacheIV,8
humalog insulin pump,7
Human Chorionic Gonadotropin,872
Humatrope,10
Humidification,196296
Humidity Temp [Meas],301323
HumR SSI,1
HumR #Units,1
Hyaline Casts,15118
Hydralazine,17
hydroactive gel,88
hydrocele,162
Hydrocele,636
Hydrocele:,120
Hydroceles,64
hydrocortisone,12
Hydrocortisone,445
hydrocyle,11
hyperoxia,4
Hyperoxia,3
Hyperoxia test,11
HYPEROXYIA TEST,1
Hypersegmented Neutrophils,269
Hyphenated Yeast,1
Hypochromia,61634
I,7
IABP Alarms Activated,2015
IABP Arterial Waveform Source,2064
IABP Art. Waveform Appear,2050
IABP Balloon Waveform,2091
iabp-bp,14
IABP BP,15
IABP-BP,51
IABP Dressing Occlusive,2060
IABP Helium Tubing,2024
IABP Line Discontinued,97
IABP Mean,38457
IABP placed in outside facility,2077
IABP Placement Confirmed by X-ray,1715
IABP Position on leg,5273
IABP Power Source,1939
IABP setting,50242
IABP Site Appear,2335
IABP Size,2032
IABP Trigger,1884
IABP Volume,1944
IABP Zero/Calibrate,2037
icd,12
iced gauze to eyes,41
ICE PACKS OU,24
ICE PACKS PERINEAL,44
ICE PACKS TO R EYE,13
icp,7
ICP,99159
ICP Alarm [High],33554
ICP Alarm [Low],34909
ICP Camino,40
icp left,70
ICP LEFT,232
ICP Line Discontinued,76
ICP Line Dressing Occlusive,8778
ICP Line placed in outside facility,8765
ICP Line Site Appear,9373
ICP Line Tip Cultured,124
ICP Line Waveform Appear,8785
ICP Line Zero/Calibrate,2801
ICP  Right,49
ICP Right,100
ICP ventricle,85
ICP-ventriculostomuy,114
ICS,16
ICU Consent Signed,5783
ID band(s) on,135319
ideal body weight,1
I:E Ratio,147143
I:E Ratio-Calculated,46
I:E Ratio-TCPCV,291
ileal conduit,31
Ileoconduit,2668
ileostomy,141
ileostomy appearance,20
Ileostomy care,3
ileostomy output,11
ileum drain,43
ilex,27
Ilex,138
Ilex oint,11
Image Transmission,820
IMIPENEM,5863
Immobilizer,45750
Immobilizer Device,41578
Immobilizer Evaluated,37787
Immobilizer Location,40732
Immodium,43
Immunofixation,815
"Immunofixation, Urine",791
Immunoglobulin A,2744
Immunoglobulin G,3320
Immunoglobulin M,2608
IMMUNOLOGY,1398
Immunology (CMV),1818
Immunophenotyping,1178
impact 1/2 strength,1
impact 2/3 strength,26
IMPACT WITHOUT FIBER,5
Impaired Skin Cleanse #1,132045
Impaired Skin Cleanse #10,2252
Impaired Skin Cleanse #2,78567
Impaired Skin Cleanse #3,49913
Impaired Skin Cleanse #4,33004
Impaired Skin Cleanse #5,20078
Impaired Skin Cleanse #6,12957
Impaired Skin Cleanse #7,8433
Impaired Skin Cleanse #8,5299
Impaired Skin Cleanse #9,2765
Impaired Skin Depth #1,19805
Impaired Skin Depth #10,284
Impaired Skin Depth #2,11800
Impaired Skin Depth #3,6576
Impaired Skin Depth #4,4405
Impaired Skin Depth #5,2592
Impaired Skin Depth #6,1847
Impaired Skin Depth #7,849
Impaired Skin Depth #8,414
Impaired Skin Depth #9,553
Impaired Skin Drainage #1,167103
Impaired Skin Drainage #10,2434
Impaired Skin Drainage #2,95701
Impaired Skin Drainage #3,59480
Impaired Skin Drainage #4,37233
Impaired Skin Drainage #5,23249
Impaired Skin Drainage #6,14953
Impaired Skin Drainage #7,9558
Impaired Skin Drainage #8,5776
Impaired Skin Drainage #9,3020
Impaired Skin Drainage Amount #1,134360
Impaired Skin Drainage Amount #10,2039
Impaired Skin Drainage Amount #2,77208
Impaired Skin Drainage Amount #3,48231
Impaired Skin Drainage Amount #4,31302
Impaired Skin Drainage Amount #5,20622
Impaired Skin Drainage Amount #6,12599
Impaired Skin Drainage Amount #7,8500
Impaired Skin Drainage Amount #8,4922
Impaired Skin Drainage Amount #9,2587
Impaired Skin  - Dressing Status #1,118143
Impaired Skin  - Dressing Status #10,1645
Impaired Skin  - Dressing Status #2,57714
Impaired Skin  - Dressing Status #3,36044
Impaired Skin - Dressing Status  #4,23321
Impaired Skin  - Dressing Status #5,15596
Impaired Skin  - Dressing Status #6,9730
Impaired Skin  - Dressing Status #7,5740
Impaired Skin  - Dressing Status  #8,3513
Impaired Skin  - Dressing Status #9,2043
Impaired Skin Length #1,53288
Impaired Skin Length #10,891
Impaired Skin Length #2,32675
Impaired Skin Length #3,21929
Impaired Skin Length #4,13752
Impaired Skin Length #5,8932
Impaired Skin Length #6,5594
Impaired Skin Length #7,3865
Impaired Skin Length #8,2414
Impaired Skin Length #9,1367
Impaired Skin Odor #1,128451
Impaired Skin Odor #10,1879
Impaired Skin Odor #2,73139
Impaired Skin Odor #3,46553
Impaired Skin Odor #4,29513
Impaired Skin Odor #5,19225
Impaired Skin Odor #6,11223
Impaired Skin Odor #7,7491
Impaired Skin Odor #8,4552
Impaired Skin Odor #9,2355
Impaired Skin Site #1,287969
Impaired Skin Site#1,293132
Impaired Skin Site #10,3626
Impaired Skin Site #2,144583
Impaired Skin Site#2,152424
Impaired Skin Site #3,88965
Impaired Skin Site#3,76703
Impaired Skin Site #4,54744
Impaired Skin Site#4,21030
Impaired Skin Site #5,33857
Impaired Skin Site#5,9970
Impaired Skin Site #6,20458
Impaired Skin Site#6,2097
Impaired Skin Site #7,13141
Impaired Skin Site #8,8486
Impaired Skin Site #9,4395
Impaired Skin Treatment #1,209797
Impaired Skin Treatment #10,3184
Impaired Skin Treatment #2,121742
Impaired Skin Treatment #3,77461
Impaired Skin Treatment #4,49922
Impaired Skin Treatment #5,31637
Impaired Skin Treatment #6,20341
Impaired Skin Treatment #7,13052
Impaired Skin Treatment #8,7754
Impaired Skin Treatment #9,4016
Impaired Skin Type #1,196053
Impaired Skin Type #10,2742
Impaired Skin Type #2,113824
Impaired Skin Type #3,70568
Impaired Skin Type #4,44033
Impaired Skin Type #5,27420
Impaired Skin Type #6,16551
Impaired Skin Type #7,10493
Impaired Skin Type #8,6618
Impaired Skin Type #9,3402
Impaired Skin Width #1,51206
Impaired Skin Width #10,843
Impaired Skin Width #2,31423
Impaired Skin Width #3,21435
Impaired Skin Width #4,13516
Impaired Skin Width #5,8696
Impaired Skin Width #6,5579
Impaired Skin Width #7,3865
Impaired Skin Width #8,2398
Impaired Skin Width #9,1315
Impaired Skin Wound Base #1,138513
Impaired Skin Wound Base #10,2505
Impaired Skin Wound Base #2,83169
Impaired Skin Wound Base #3,53217
Impaired Skin Wound Base #4,34841
Impaired Skin Wound Base #5,21528
Impaired Skin Wound Base #6,13687
Impaired Skin Wound Base #7,9511
Impaired Skin Wound Base #8,5502
Impaired Skin Wound Base #9,3035
Impella 2.5 Flow Rate,31
Impella Catheter Position,6
Impella Catheter Repositioned,2
Impella Catheter Site,7
Impella Dressing Occlusive,4
Impella Line Site Appear,8
Impella Placement Confirmed,3
Impella Position,18
Impella Postion Confirmed,4
ImpSkin #1 [Amount],26970
ImpSkin #1 [Drain],90130
ImpSkin #1 [Length],11154
ImpSkin #1 [Width],13441
ImpSkin #2 [Amount],15105
ImpSkin #2 [Drain],49128
ImpSkin #2 [Length],5172
ImpSkin #2 [Width],6303
ImpSkin #3 [Amount],8830
